Text,TrainingData
give me collge in west bengal,"('give me collge in west bengal', {'entities': [(18, 29, 'STATE')]})"
give me collge in ladhak,"('give me collge in ladhak', {'entities': []})"
Colleges in Andhra with good infrastructure,"('Colleges in Andhra with good infrastructure', {'entities': [(24, 43, 'INFRA')]})"
Colleges in Andhra with good infrastructure,"('Colleges in Andhra with good infrastructure', {'entities': [(24, 43, 'INFRA')]})"
Find colleges in Andhra Pradesh with good facilities,"('Find colleges in Andhra Pradesh with good facilities', {'entities': [(17, 31, 'STATE')]})"
Looking for colleges in Andhra,"('Looking for colleges in Andhra', {'entities': []})"
Show me good B.Pharm colleges with good faculty,"('Show me good B.Pharm colleges with good faculty', {'entities': [(13, 20, 'COURSE'), (35, 47, 'FACULTY')]})"
Colleges in Andhra with good infrastructure,"('Colleges in Andhra with good infrastructure', {'entities': [(24, 43, 'INFRA')]})"
I am looking for M.Tech programs in Karnataka,"('I am looking for M.Tech programs in Karnataka', {'entities': [(36, 45, 'STATE')]})"
Are there any good colleges in Maharashtra offering B.Tech?,"('Are there any good colleges in Maharashtra offering B.Tech?', {'entities': [(31, 42, 'STATE')]})"
Find colleges in Tamil Nadu with excellent faculty,"('Find colleges in Tamil Nadu with excellent faculty', {'entities': [(17, 27, 'STATE')]})"
Which colleges in Kerala have good infra and faculty?,"('Which colleges in Kerala have good infra and faculty?', {'entities': [(18, 24, 'STATE'), (30, 40, 'INFRA')]})"
Looking for top MBA colleges in Delhi,"('Looking for top MBA colleges in Delhi', {'entities': [(16, 19, 'COURSE')]})"
Can you suggest some arts colleges in West Bengal?,"('Can you suggest some arts colleges in West Bengal?', {'entities': [(21, 25, 'STREAM'), (38, 49, 'STATE')]})"
I need information on engineering colleges in Uttar Pradesh,"('I need information on engineering colleges in Uttar Pradesh', {'entities': [(22, 33, 'STREAM'), (46, 59, 'STATE')]})"
What are the best D.Pharm colleges in Gujarat?,"('What are the best D.Pharm colleges in Gujarat?', {'entities': [(18, 25, 'COURSE'), (38, 45, 'STATE')]})"
Show me good colleges in Punjab with low fees,"('Show me good colleges in Punjab with low fees', {'entities': [(25, 31, 'STATE')]})"
Best colleges in Telangana with excellent placement rates,"('Best colleges in Telangana with excellent placement rates', {'entities': [(17, 26, 'STATE')]})"
Looking for good B.Sc colleges with high faculty ratings,"('Looking for good B.Sc colleges with high faculty ratings', {'entities': []})"
Colleges in Andhra Pradesh with great infrastructure,"('Colleges in Andhra Pradesh with great infrastructure', {'entities': [(12, 26, 'STATE')]})"
Any top colleges in Rajasthan offering MCA?,"('Any top colleges in Rajasthan offering MCA?', {'entities': [(20, 29, 'STATE')]})"
Suggest me top law colleges in Bihar,"('Suggest me top law colleges in Bihar', {'entities': [(31, 36, 'STATE')]})"
Which colleges in Odisha have good placement and faculty?,"('Which colleges in Odisha have good placement and faculty?', {'entities': [(18, 24, 'STATE')]})"
Need information on good medical colleges in Himachal Pradesh,"('Need information on good medical colleges in Himachal Pradesh', {'entities': [(25, 32, 'STREAM'), (45, 61, 'STATE')]})"
Show me the best arts and culture colleges in Madhya Pradesh,"('Show me the best arts and culture colleges in Madhya Pradesh', {'entities': [(17, 21, 'STREAM'), (26, 33, 'STREAM'), (46, 60, 'STATE')]})"
Looking for commerce colleges in Assam,"('Looking for commerce colleges in Assam', {'entities': [(33, 38, 'STATE')]})"
Suggest good B.Pharm colleges in Uttar Pradesh,"('Suggest good B.Pharm colleges in Uttar Pradesh', {'entities': [(13, 20, 'COURSE'), (33, 46, 'STATE')]})"
I need top engineering colleges in Tamil Nadu,"('I need top engineering colleges in Tamil Nadu', {'entities': [(11, 22, 'STREAM'), (35, 45, 'STATE')]})"
Show me top management colleges in West Bengal,"('Show me top management colleges in West Bengal', {'entities': [(12, 22, 'STREAM'), (35, 46, 'STATE')]})"
Looking for good medical colleges in Maharashtra,"('Looking for good medical colleges in Maharashtra', {'entities': [(17, 24, 'STREAM'), (37, 48, 'STATE')]})"
Best commerce colleges in Kerala with high infra ratings,"('Best commerce colleges in Kerala with high infra ratings', {'entities': [(26, 32, 'STATE')]})"
Can you list top law colleges in Andhra Pradesh,"('Can you list top law colleges in Andhra Pradesh', {'entities': [(33, 47, 'STATE')]})"
Find top arts and culture colleges in Karnataka,"('Find top arts and culture colleges in Karnataka', {'entities': [(9, 13, 'STREAM'), (18, 25, 'STREAM'), (38, 47, 'STATE')]})"
What are the best engineering colleges in Punjab?,"('What are the best engineering colleges in Punjab?', {'entities': [(18, 29, 'STREAM'), (42, 48, 'STATE')]})"
Show me good pharmacy colleges in Tamil Nadu,"('Show me good pharmacy colleges in Tamil Nadu', {'entities': [(13, 21, 'STREAM'), (34, 44, 'STATE')]})"
Give me colleges in Maharashtra with engineering,"('Give me colleges in Maharashtra with engineering', {'entities': [(20, 31, 'STATE'), (37, 48, 'STREAM')]})"
Top engineering colleges in Karnataka,"('Top engineering colleges in Karnataka', {'entities': [(4, 15, 'STREAM'), (28, 37, 'STATE')]})"
Best medical schools in Andhra Pradesh,"('Best medical schools in Andhra Pradesh', {'entities': [(5, 12, 'STREAM'), (24, 38, 'STATE')]})"
Colleges with good infra in Kerala,"('Colleges with good infra in Kerala', {'entities': [(14, 24, 'INFRA'), (28, 34, 'STATE')]})"
coleges with good faculty,"('coleges with good faculty', {'entities': [(13, 25, 'FACULTY')]})"
coleges with very good faculty,"('coleges with very good faculty', {'entities': [(13, 30, 'FACULTY')]})"
coleges with good infrastructure,"('coleges with good infrastructure', {'entities': [(13, 32, 'INFRA')]})"
coleges with very good infrastructure,"('coleges with very good infrastructure', {'entities': [(13, 37, 'INFRA')]})"
coleges with very good infra,"('coleges with very good infra', {'entities': [(13, 28, 'INFRA')]})"
coleges with bad infra,"('coleges with bad infra', {'entities': [(13, 22, 'INFRA')]})"
coleges with bad infrastructure,"('coleges with bad infrastructure', {'entities': [(13, 31, 'INFRA')]})"
coleges with 2.4,"('coleges with 2.4', {'entities': [(13, 16, 'RATING')]})"
coleges with 4,"('coleges with 4', {'entities': [(13, 14, 'RATING')]})"
coleges with 4.5,"('coleges with 4.5', {'entities': [(13, 16, 'RATING')]})"
coleges with 3.0,"('coleges with 3.0', {'entities': [(13, 16, 'RATING')]})"
